SL NO,Image_ID,Caption
105,20240701191709_1,Green sports car and blue sports car flying over desert landscape.
106,20240701191826_1,"A green sports car with black shade and rippling effect, and a blue sports car on rocky terrain."
107,20240701192057_1,"Green and black sports car drifting on dirt, dust clouds, tire marks."
108,20240701192415_1,"Green sports car with black design and blue sports car, both on a desert road."
109,20240704213916_1,Dusty car on rocky terrain near lava flow with rising smoke
110,20240704213957_1,Lava flows in a volcanic crater with smoke and rocky terrain in the foreground.
111,20240704214019_1,"Lava lake with rocky shore, steam, and mountains under cloudy sky."
112,20240704214209_1,Two off-road buggies driving through a rocky desert landscape with mountains.
113,20240706104927_1,"Dark violet sports car in front of pink house, surrounded by cacti and desert plants"
114,20240706104958_1,Purple sports car with large rear wing parked on a desert road.
115,20240706113940_1,"Blue sports car driving on highway under power lines, clear sky."""
116,20240911025542_1,"A person carrying a rifle and shotgun walks through a dense forest, sunlight streaming through the canopy."
117,20241001215445_1,"Blue and orange bird stands on rock in forest, surrounded by greenery."
118,20241001215629_1,"Colorful parrots flying over rocks in dense, dark forest."
119,20241001215741_1,"A waterfall cascades over rocks in a misty forest, with a person standing nearby"
120,20241001220131_1,"Two men holding torches, walking in a dark cave with rocky walls"
121,20241001222102_1,"Explosion near rocky cliff at sunset, debris and people flying."
122,20241001224932_1,"Sunset over dense forest, green trees, cloudy sky, distant hills."
123,20241001231133_1,"Hot air balloon over grassy field, trees, bridge, sunlight through clouds."
124,20241001231208_1,Person in yellow coat stands on grassy area near bridge.
125,20241001231318_1,Hot air balloon over misty forest at sunrise with two people in the basket.
126,20240601214239_1,"A person in a light-colored uniform with blue accents, wearing an locket, standing in a sci-fi setting."
127,20240601214249_1,"A person stands in front of a window, looking out at Earth from space."
128,20240601214255_1,A person raising a hand from the spaceship.
129,20240601214259_1,"A person seen from behind, reaching out towards a view of Earth from space."
130,20240601214312_1,A hand holds a pendant with a beetle design. A small metallic device is attached to the wrist.
131,20240601214532_1,"A female character is sitting in a red box on the right side , with UI and UX credits displayed on the left of the screen"
132,20240601214539_1,A female character is sitting on the right side with encounter and level designers' names displayed on the left side of the screen.
133,20240601221425_1,"A character customization screen in a video game. The character, named V, has long hair, earrings, and star tattoos on the neck."
134,20240601224607_1,"A dark urban street with neon signs, advertisements, and a car driving."
135,20240601225353_1,"A cardboard sign rests beside a graffiti wall, with cans, bottles, and litter scattered on the ground."
136,20240601225419_1,"A man crouches near a graffiti wall, neon signs, and urban buildings in a vibrant setting."
137,20240601230500_1,A female character in a bathtub with holographic medical display and shattered glass around
138,20240601230618_1,"A cyberpunk cityscape features neon lights, a glowing billboard, and a futuristic building."
139,20240601230622_1,A futuristic hovercraft lands in a neon-lit city street surrounded by buildings.
140,20240602153711_1,"A rainy city street glows with neon signs, bright billboards, a police car, and pedestrians."
141,20240602153724_1,"A rainy cyberpunk street with neon lights, wet surfaces, stalls, and modern buildings."
142,20240602153818_1,"Rainy night viewed from vehicle, hovering aircraft shines spotlights on person near car."
143,20240602154054_1,"Driver holding steering wheel, dashboard with controls, advertisement outside, illuminated road, night view."
144,20240602154456_1,A man stands near a barrel fire in a dimly lit futuristic hallway.
145,20240602160636_1,A man with cybernetic implants eats at a street stall under neon lights.
146,20240706201924_1,"A yellow SUV drives through shallow water near trees, mountains, and a bright sky."
147,20240706235134_1,A floating platform with a tractor and two figures above a forested landscape.
148,20240707233049_1,"A black car crossing a shallow river surrounded by trees, hills, and a bridge."
149,20240707233249_1,"A black car is partially submerged in a cascading waterfall, surrounded by lush greenery"
150,20240707233449_1,A large waterfall cascades through a green forest landscape with distant mountains under clouds.
151,20240707233647_1,"A black rally car speeds across shallow water, leaving a trail, with a waterfall behind."
152,20240720120907_1,"A sleek, purple sports car with red rims and a large rear wing in a studio."
153,20240722200912_1,A purple sports car collides with a vintage yellow taxi in a desert landscape.
154,20240802220927_1,"A purple sports car speeds on a highway, showing 488 km/h and a skill chain bonus."
155,20240802223113_1,A sleek black sports car with reflective details is parked inside a modern showroom.
156,20240802223842_1,A black sports car with reflective paint drives on a desert highway under clear skies.
157,20240809211536_1,"An off-road vehicle drives through a shallow river, creating splashes, with trees and mountains nearby."
158,20240811220921_1,A colorful off-road vehicle speeds through a field of orange flowers with distant hills.
159,20241018160135_1,A character with a gun aims at another person inside a tented camp under cloudy skies.
160,20241018163944_1,"A horse-mounted figure is struck by gunfire, with visible impact and blood spray."
161,20241018163946_1,"A mounted figure slumps on a horse, showing visible gunshot wounds and blood spray."
162,20241018165344_1,"A kneeling figure bleeds on a wooden dock, with gunfire visible in the background."
163,20241018165346_1,"A rugged man aims a revolver, wearing a fur-trimmed coat and bandolier, outdoors."
164,20241018170135_1,A lone rider on horseback moves through a misty forest bathed in sunlight.
165,20241018172122_1,A deer with large antlers stands in a grassy field at sunset.
166,20241018172143_1,A large rocky cliff overlooks a foggy forest with soft light.
167,20241020160530_1,"A windmill stands against a sunset sky, overlooking trees and distant hills."
168,20241020163150_1,A rider on horseback traverses a field of purple flowers with mountains and cabins nearby.
169,20241020164421_1,A man in dark clothing violently attacks another man on the ground with blood splattering.
170,20241020164453_1,A bearded man in dark clothing appears to be striking another person.
171,20241020171324_1,"A man lies on the ground, injured, as another points a flaming weapon."
172,20241020171736_1,"A bearded man fires two revolvers, with flames bursting from the barrels."
173,20241020171934_1,"A scenic rural farmstead with fenced enclosures, barns, and a windmill foreground."
174,20241020174925_1,"A man riding a saddled horse crossing shallow water, surrounded by trees."
175,20241020175041_1,"A man slumped over in a wooden wagon, pierced with multiple arrows."
176,20241020180536_1,"A bearded man in a hat holds a lantern, riding a horse at night."
177,20241020190322_1,A man gets shot in the head with an arrow as two others aim rifles nearby.
178,20241020193031_1,Three figures stand before a partially constructed wooden building under a dark sky.
179,20241020193054_1,A man on a roof holds a plank as another supports it below.
180,20241020193103_1,"A partially built wooden house with a nearby campfire, people, wagon, and forest background."
181,20241020193322_1,A wooden cabin porch at night with a hanging bull skull and lanterns glowing.
182,20241020193409_1,A man and a horse are standing in front of a wooden cabin with a porch.
183,20241020193608_1,A bird is flying near a wooden cabin and campsite.
184,20241020202513_1,Two figures hanging from ropes in a misty forest surrounded by rocks.
185,20241020202905_1,A wooden house with a chimney surrounded by trees and open grassy fields.
186,20241020203058_1,"A wooden cabin stands in a dry, grassy field with a covered wagon nearby."
187,20241020203214_1,Three people stand outside a wooden house with a wagon in the background.
