SL NO,Image_ID,Caption
42,20241028161502_1,A rider on horseback overlooks a vast lake and desert landscape.
43,20241028162051_1,A man stands near burning debris outside the South Western Railroad Company building.
44,20241028162648_1,"A catalog page displays food items like pear, cheese, salted beef, and pork loin with prices."
45,20241028165352_1,A large red rock mesa with layered formations surrounded by sparse vegetation.
46,20241028165833_1,A person in a hat fires a rifle with blood splatter in view.
47,20241028171302_1,A silhouette of a rider on horseback overlooks a canyon at sunset.
48,20241028171414_1,A person hangs by a rope against a steep rocky cliff at sunset.
49,20241028171508_1,A hand holds a map showing a stone pillar with a red arrow.
50,20241028172935_1,"A person fires a gun under a cloudy night sky, surrounded by desert vegetation."
51,20241028173445_1,"A man holding a revolver is shot, with blood spraying, near a desert building."
52,20241028173453_1,"Two men are shot and falling, with blood spraying, while another approaches armed."
53,20241028173816_1,"A cowboy on horseback in a desert landscape, got shot and slumps forward."
54,20241028174808_1,"A detailed rifle with gold engravings and leather wrap, held by gloved hands."
55,20241028174853_1,A standoff in a dusty Wild West town with armed figures surrounding one.
56,20241028175025_1,A close-up of a rifle with engraved golden details and a wooden stock.
57,20241028175048_1,"A detailed rifle with golden engravings and a wooden finish, held by gloved hands."
58,20241028181358_1,A man on horseback bleeds from a gunshot while another lies lifeless nearby.
59,20241028182049_1,Two men stand near an open grave surrounded by coffins and horse-drawn wagons.
60,20241028182657_1,"Several riders on horseback engage in a shootout, with one rider hit and bleeding."
61,20241028195023_1,A gloved hand holds an ornate golden pistol with engraved patterns outdoors.
62,20241028195754_1,Two gloved hands hold matching ornate golden pistols with intricate engraved patterns.
63,20241030152422_1,Two riders on horseback travel a dusty trail at sunset with cacti nearby.
64,20241030170347_1,"A gravestone reads ""Peter Turner,"" mentioning his death in 1894 by head injury."
65,Screenshot (154).png,"A man on horseback holds a lit lantern in a dark, forested swamp."
66,Screenshot (155).png,A man holding a lantern stands over a person lying on the ground in a dark forest.
67,20241001231350_1,Hot air balloon with two people flying over a forested landscape under cloudy skies.
68,20241001231404_1,"Hot air balloon with two people flying over a forest, sunny with clouds."
69,20241001231456_1,Hot air balloon floating above clouds with silhouettes of people under sunlight.
70,20241001231614_1,Hot air balloon with two people flying in a cloudy sky.
71,20241001231831_1,"Hot air balloon with two people, cloudy sky, mountains in the distance."
72,20241001231947_1,"Hot air balloon with two people, foggy landscape, fields, and water."
73,20241001232145_1,"A misty landscape with trees, distant mountains, and a hot air balloon floating."
74,20241001232752_1,"Hot air balloon skimming water, two people inside, forested riverbank background."
75,20241001233710_1,"A person with a rifle stands near a fire, smoke rises toward trees at night."
76,20241002001150_1,"Person with wolf headdress standing near window, wall lamps in the background."
77,20241002002945_1,Hand holding engraved pistol in dimly lit outdoor setting.
78,20241013004114_1,"Woman holding skinned rabbit, standing outdoors near trees and grass, with hunter nearby."
79,20241013004630_1,"Person standing in water near waterfall, rocks, trees in background."
80,20241013005049_1,"Person riding horse on grassy terrain towards forest, ominous clouds, light breaking through."
81,20241013005554_1,A man shoots a rifle on a bridge near a bloody body and trees
82,20241013005646_1,A man wearing a bear mask shoots on a wooden bridge with bodies around
83,20241013012036_1,A dark forest with a silhouetted wolf near branches and misty light.
84,20241013012039_1,"Wolf with glowing eyes, dark foggy forest, structure in background."
85,20241013012751_1,"Man hanging by rope from tree in forest, with rocks and stream nearby"
86,20241013013621_1,"Burning cart on rocky hill with trees, sunset sky."
87,20241013014523_1,"Dead cougar lying on muddy ground, with person aiming pistols nearby."
88,20241013015107_1,"A tall tree burns with fiery intensity, surrounded by smoke and dark trees."
89,20241013015352_1,"Metallic dome with red lights, glowing tree on hill in background."
90,20241013015355_1,"Red tower with lights, surrounded by dark forest, sparks at top."
91,20241013015400_1,"Lightning striking metal bars in dark, red-lit structure."
92,20241013015511_1,"Two men in lab with robot, electricity, and control panels."
93,20241013015513_1,"Purple orb emitting electric arcs, dark room, industrial equipment, two people."
94,20241013015516_1,"Robot in laboratory with electric sparks, two men observing."
95,20241013015521_1,Robot's golden hand extends from metallic arm with gauge.
96,20241013015526_1,"Man with outstretched arms, white shirt, tie, control panel."
97,20241013015539_1,Robot with glowing eyes in dark room with pipes and machinery.
98,20241013015633_1,Person in lab coat sits in dimly lit lab with glowing lights.
99,20241013021122_1,"Women in forest, wearing hat and scarf, holding cigarette."
100,20241013021159_1,"Women in hat and scarf, holding cigarette, under tree branches."
101,20241016215551_1,"Steam locomotive on a wooden bridge, emitting smoke, surrounded by trees and mountains."
102,20241016220850_1,"Burned corpse lying on charred wooden planks, arms outstretched."
103,20241016221218_1,"Person on horse holding weapon with blood splattering, near lake."
104,20241016221430_1,"Map with towns, roads, rivers, and markers in a game interface."
105,20241016221925_1,"Person holding fish, using fishing rod near grassy riverbank."
106,20241016223345_1,"Steam engine moves along tracks, crossing field of grazing bison"
107,20241016223554_1,Steam engine pulls train cars along dark tracks.
108,20241016223739_1,"Steam train crossing bridge at night, smoke rising, glowing windows, forested mountains in background"
109,20241016232440_1,"Man with gun stands on platform, train tracks in background."
110,20241016232535_1,"Gunfight on wooden porch, man shot, blood splattering, two people, dramatic scene."
111,20241016233448_1,A dead cougar floating in water with blood surrounding its head
112,20241017010503_1,"Person holding large fish by water, wearing jacket, rifle on back."
113,20241017010553_1,Person holding large fish wrapped in ropes near body of water.
114,20241017020635_1,Waterfalls cascade between rocky cliffs with trees under a clear blue sky.
115,20241017020657_1,Bridge over canyon with waterfalls and trees in background.
116,20241017021440_1,"Person sits on barrels near railroad tracks in forested area."""
117,20241017022048_1,Person in leather coat with bandolier and gun holster in forest.
118,20241017025153_1,"Person on cliff overlooking lake, trees, and mountains at dusk."
119,20241017193550_1,"A small grass-covered house built into a hill, surrounded by trees and flowers at dusk."
120,20241017193950_1,Tents and campfires in a dark forest at night with glowing light.
121,20241017200525_1,"Bear walking on grass near rocks and water, surrounded by trees and plants."
122,20241017200611_1,"Bear standing on hind legs near rocks and water, surrounded by grass and trees."
123,20241017200729_1,A dead bear lying on grass and rocks with blood near its head
124,20241017201702_1,"Person with bandolier, and rifle standing on cobblestone path."
125,20241017202319_1,"Person wearing bear headgear, bandolier, and fur coat, standing in front of trees."
126,20241017203421_1,"Two people in a forest, one wearing a hat, the other on horseback."
127,20241017205305_1,"An arrow pierces the ground near bushes, trees, and distant rocky hills"
128,20241017205712_1,"An eagle soars in the night sky, clutching prey with its talons"
129,20241017205759_1,A bird lies lifeless on dark grass with wings spread wide in stillness.
130,20241017210949_1,"Person in blue uniform, gold buttons, badge, brick wall background."
131,20241017211608_1,"A wooden gallows with ropes, four men, and a staircase in an outdoor setting."
132,20241017211648_1,"Man with gag over mouth, another man in uniform standing behind him indoors."
133,20241017211705_1,"A person with long hair, tied mouth, wearing a striped shirt in a dark room"
134,20241017211726_1,"A person with long hair, mouth tied, and rope under neck in a dark room"
135,20241017212819_1,"A man shoots another in the head, blood splattering in the action"
136,20241017213648_1,"A dead boar lies on the ground, surrounded by flowers and blood, with a person nearby."
137,20241017213806_1,"Hat with feathers on person's head, outdoors, rocky background, trees in distance."
138,20241017215500_1,"A person in a forest throwing a knife, with a horse in the background"
139,20241017215728_1,"Deer standing in grassy field, forest, and sunset background."
140,20241017215731_1,"Silhouette of deer with antlers, standing in field, sunset background, forest nearby."
141,20241017215938_1,"A gunman aims a rifle through a barn door, blood splattering from his head."
142,20241017220249_1,"A character with brown hair, blood-stained clothes, and a blood-streaked face"
143,20241018143158_1,Flowers on a rocky ground with trees and snowy mountains in the background.
144,20241018144622_1,"People standing on a cliff, aiming guns, with a broken wooden bridge."
145,20241018144827_1,"Sunlit forest with deer near water, trees, and rocks."
146,20241018144833_1,"Deer standing on forest hill, sunlight streaming through trees, reflecting on water."
147,20241018144836_1,Deer stands on a hill in a sunlit forest with rays shining through trees.
148,20241018144841_1,A sunlit forest with trees and a person wearing a fur collar on the left.
149,20241018145417_1,Person shooting revolver at tree in forest.
150,20241018145428_1,"A person shoots a revolver at a tree in the forest, causing an explosion and smoke."
151,20241018152407_1,A person rows a wooden boat across the water beside a blazing campfire on the riverbank.
152,20241018153441_1,Person holding flowers near a cooking pot over a fire.
153,20241001222545_1,"Fort with cannons firing, soldiers defending, surrounded by misty forest and evening sky."
154,20240820221753_1,A male character crouches near a cat in a sunlit alleyway.
155,20240820223033_1,A male character stands before a burning cross in a forest at night.
156,20240820223119_1,A burning male character stands in front of a burning cross at night in the forest.
157,20240820223542_1,A male character is standing in front of flames at night in the forest.
158,20240718213816_1,"A male character riding a horse with a child seated in front of him, passing through a forest."
159,20240718214347_1,A male character sitting by a campfire at night in a forest.
160,20240718215342_1,A male character aiming and firing a revolver in a grassy landscape.
161,20240718222525_1,"A steam train passes a foggy countryside station, surrounded by trees and an old wooden building."
162,20240718222553_1,"A steam engine emerges from the fog, passing a rustic station near rocky cliffs and dense trees."
163,20240718224316_1,"A lifeless body floats in murky water, alongside a broken wagon wheel, with a revolver aimed nearby."
164,20240718224446_1,"Bloodied body floats as a lone gunman stands, revolver raised."
165,20240718225348_1,A waterfall flows over rocky cliffs with a rider and horse visible on the edge above.
166,20240718225701_1,"A steam locomotive moves through a forested area, releasing smoke as it follows the railway track."
167,20240718225728_1,"A steam train chugs through the countryside, leaving a trail of smoke behind."
168,20240718230125_1,A male character watches horses gallop through the water in a lush green field.
169,20240713142915_1,A rider holding a lantern illuminates the night as he journeys through the wilderness.
170,20240716171900_1,A rider ventures through a scenic mountain trail under a cloudy sky.
171,20240716171939_1,A male character on horseback crossing a wooden path in a scenic mountainous area.
172,20240716172136_1,A man on horseback riding alongside a steam train in a forested area.
173,20240716172904_1,"A rider crosses a calm river on horseback, surrounded by lush greenery and rocky cliffs."
174,20240716173252_1,"A male character fires at a man in the water, sparks illuminating the darkened scene."
175,20240716173417_1,"A male character firing at a submerged figure in the water, with sparks lighting up the rippling surface."
176,20240716173705_1,"A man fires a revolver at a figure on the ground, sparks illuminating the night scene."
177,20240716180223_1,Man crouching with a rifle in a vintage tone.
178,20240716181655_1,A group of male characters gathered around a lantern-lit table at night.
179,20240718213234_1,A male character fishing with a pole on a lake surrounded by trees.
180,20240709142211_1,A male character stands next to a skinned animal in a grassy landscape with a horse in the background.
181,20240709142959_1,A man standing next to a large bison lying on the grass in an open field.
182,20240709211025_1,"Portrait of a butcher in a vintage setting, surrounded by his trade tools and meat products."
183,20240709230806_1,A man kneeling to interact with a dark-coated dog on a wooden platform.
184,20240709232634_1,A man fires a shotgun at a headless figure on a blood-stained ground.
185,20240709233308_1,A man rides a horse through a misty valley at sunrise.
186,20240710132616_1,A male character interacts with a dog in a rural environment.
187,20240712185306_1,A male character drives a horse-drawn milk delivery wagon through a rural setting.
188,20240624175314_1,"Two supercars drifting on a forest road, leaving trails of smoke on a sunny day."
189,20240612225508_1,"A sports car is airborne over a sandy desert landscape, with mountains and a clear sky in the background."
190,20240614164821_1,"A yellow off-road vehicle driving through a suburban street at speed, with motion blur."
191,20240614175101_1,Silver sports car drifting surrounded by smoke at night with colorful lights in the background.
192,20240622151155_1,"A purple car crashes through a guardrail at night, surrounded by flying debris and sparks."
193,20240622230310_1,A sleek brown sports car captured mid-air with headlights glowing brightly against a blurred natural backdrop.
194,20240622231746_1,Orange sports car speeding on a highway test track under a bright blue sky.
195,20240622233737_1,"""Orange car driving across sandy desert dunes with scattered shrubs and mountains in the distance."
196,20240624170910_1,Orange sports car speeding past with balloons and a mountain in the background.
197,20240624174122_1,"Orange supercar speeding through a wet road, splashing water in motion."
198,20240601211510_1,Red holographic figure sitting on a chair in a dark digital environment with glowing effects.
199,20240601214235_1,"A person stands holding a bag in a metallic chamber, surrounded by an industrial, futuristic environment."
200,20240528015213_1,"""A fallen figure lies motionless on a wet, industrial surface, illuminated by dim neon light."
201,20240528015350_1,"A body in a bloodied jumpsuit lies motionless against a metallic, dimly lit stairwell."
202,20240528123515_1,Body on a bloodstained rooftop with severed legs and a pizza box nearby.
203,20240601204645_1,Holographic figure delivers a harsh remark in a dense forest setting
204,20240601210523_1,A character kneels in a dimly lit room.
205,20240601210531_1,"A man kneels on the floor in a dimly lit, futuristic room with a glowing red globe display."
