id,images,captions
1,20250820144106_2,Glowing red-eyed creatures crawl across a littered alley with a three-wheeler and bicycle.
1,20250820144107_1,"A narrow alley with scattered debris, damaged buildings, and glowing robotic spheres."
1,20250820144119_1,"A robot with a screen face displaying a neutral expression, wearing a golden mushroom hat."
1,20250518124256_1,Two people sitting on a bench near a hot dog stand and a Ferris wheel.
1,20250518131009_1,A pink convertible car is parked on the roadside with its door open.
1,20250526184133_1,A car drives up a hill with a bridge in the background and sun glare.
1,20250528231000_1,"The BAWSAQ stock market interface shows a portfolio with a profit of $132,584.81."
1,20250530005019_1,Two fighter jets fly above a city with hills and water in the background.
1,20250602232246_1,A large weapon barrel with power lines and a cactus in the background.
1,20250605152048_1,"A black sports car drives through rain on a street, splashing water near houses."
1,20250606014748_1,A massive fiery explosion with debris and money flying through the air at night.
1,20250606014752_1,"A tall building with ""FIB"" on it is on fire amid city lights at night."
1,20250606014856_1,Four firefighters wearing helmets and gear stand together inside a small elevator.
1,20250606020741_1,"A tense standoff between armed agents and suited men at dusk, with mountains behind."
1,20250606020947_1,A man in a suit holds a rifle near a shattered railing on a building balcony.
1,20250607222927_1,"A long black limousine is parked at night, with a phone call interface visible."
1,20250607222946_1,A black limousine is parked by a red carpet event with photographers and guests outside.
1,20250608001004_1,A man in a suit stands outside a tunnel entrance as explosions and fire erupt inside.
1,20250608001139_1,A man in a black suit and mask stands in a tunnel construction site with rubble.
1,20250608012920_1,A man with a distressed expression grips a woman in a leopard-print dress from behind.
1,20250608020405_1,"A man in a suit, a woman in pajamas, and another man sit on a couch."
1,20250608225533_1,A person walks on a rusted metal walkway at night with wind turbines in the background.
1,20250608231322_1,"A person is engulfed in flames, lying on the ground near a truck."
1,20250608235344_1,A man in a suit sits on a bed with a woman lying beside him.
1,20250614190016_1,A man in a leather jacket walks past a taxi near an airport terminal.
1,20250614190020_1,A soldier with a rifle stands near military vehicles and satellite dishes.
1,20250819195656_1,"A cat sits in a lush, overgrown environment with pipes and greenery around."
1,20250819195805_1,Two cats are playfully fighting on grass near a large rusted pipe in a dark setting
1,20250820001656_1,A black cat sits under a large machine with glowing yellow grid patterns on the floor
1,20250820144110_2,"A narrow, litter-filled alleyway with scattered boxes, a small vehicle, and colorful signs"
1,20250820144126_1,"The image shows a small urban area with crowded buildings, greenery, and several people walking."
1,20250518120728_1,The image shows a helicopter with two figures: one pilot and a person rappelling.
1,20250518130030_1,"The image shows two men talking near a dumpster, one holding a camera."
1,20250518135747_1,"A man with a scruffy appearance holds pliers, looking angry in a dimly lit room."
1,20250518140051_1,"A shirtless man sits in a chair with electrodes, two men stand beside him in dim light."
1,20250518140120_1,A shirtless man slumps tiredly on stairs while another man in red shirt supports him.
1,20250518144247_1,A small red and white airplane flies above a canyon between tall mountains under the sun.
1,20250518145419_1,A fiery explosion with smoke and debris erupts on a grassy field near a coastline.
1,20250523165252_1,"A man in a dark hoodie is smoking from a large red bong, overlooking a cityscape at night."
1,20250526183428_1,"A submersible with yellow tanks explores a dark, colorful underwater scene with coral."
1,20250527001241_1,"A black car parked on a quiet road at night, with stars and a crescent moon."
1,20250530005054_1,A large cargo plane flies above a city skyline with smaller jets nearby.
1,20250603020557_1,A helicopter flies at night with the moon and stars visible behind it.
1,20250605145628_1,A small plane flies through heavy rain at night with storm clouds ahead.
1,20250605150118_1,A man in a brown coat hides behind cover in snowy night while another armed man approaches.
1,20250606002150_1,A man in a white tank top hangs upside down with visible injuries.
1,20250606011847_1,A red fire truck sprays water on a road near a truck towing a boat.
1,20250606014749_1,"The image shows a tall building exploding with debris, flames, and smoke in a night scene."
1,20250606020709_1,"Four men are pointing guns at each other, with a tense confrontation taking place outdoors."
1,20250606020744_1,"Four armed agents in tactical gear point guns, with one man speaking."
1,20250606020945_1,A man in a suit holding a rifle aims toward another person on a rooftop.
1,20250608010417_1,"Two men are seated on a ferris wheel at night, one aiming a gun."
1,20250608011604_1,A vibrant sunset over the ocean with scattered rocks and silhouetted distant islands.
1,20250608011808_1,Three men stand on a dirt path in a rural area with rocky terrain.
1,20250608225802_1,A person is lying on a metal structure with a hand gripping another's arm.
1,20250608231328_1,A person is engulfed in flames while another figure stands in the background.
1,20250819200002_1,"A sleeping cat rests on a grassy surface, surrounded by soft green plants and flowers."
1,20250819200003_1,"A cat lies in a grassy environment, staring ahead with focused eyes amidst green plants."
1,20250819200656_1,"A lone orange cat lies unmoving in a dark, blue-lit area surrounded by litter."
1,20250819202124_1,A teal-lit room displays multiple glowing screen interfaces with Follow Me text and cat icons.
1,20250819203044_1,An orange cat swiftly swipes at a small flying robot in a dim room.
1,20250819211907_1,"A foggy, green-lit construction site with cranes, high walls, and distant glowing city lights."
1,20250819221444_1,An orange cat wearing a harness sits by water in a dimly lit industrial facility.
1,20250819224454_1,An orange cat faces a cluster of stacked monitors showing static in a warmly-lit cozy room.
1,20250820144019_1,"An orange cat lies on a carpet, nuzzling a small robot, near a rolling chair."
1,20250820144107_2,"A damaged alley with scattered objects, debris, and glowing red robotic figures in the foreground."
1,20250518131817_1,A man in a bright green hoodie talks closely to another man in a suit on a sidewalk.
1,20250529234848_1,"A jet plane flies over a city skyline, trailing fire and thick black smoke."
1,20250530005202_1,Two fighter jets are flying over mountainous terrain with a coastal view in the background.
1,20250601134109_1,A man pours liquid from a red gas can into a cup at a kitchen sink.
1,20250601134118_1,A man in a grey suit is talking to someone on a blue phone indoors.
1,20250601134137_1,A disheveled man with bruises drinks from a blue cup in a dingy kitchen.
1,20250602232247_1,A large six-barrel minigun points forward in a quiet street with power lines.
1,20250602234901_1,A man in tactical gear with a chest wound stands near an SUV in the desert.
1,20250604013730_1,Two people sit inside a stationary black helicopter on a dirt field with palm trees.
1,20250608011550_1,"A classic black car is parked near the shore, facing a distant island under blue sky."
1,20250608011750_1,"Two men push a vehicle from behind, with mountains and trees in the background."
1,20250608225923_1,"A person in casual clothing stands in an industrial area at night, with large pipes and warning signs around."
1,20250608225955_1,"A person walks down an industrial road at night, passing large tanks and pipes with warning signs."
1,20250608230806_1,"A man holding a gun stands near cars at dusk, facing a red truck and its driver."
1,20250608231234_1,A wounded man crawls on the ground beside an open red jeep at night.
1,20250608231301_1,A wounded man with blood stains painfully crawls on the road beside an open red jeep.
1,20250608231321_1,A person engulfed in flames crawls on the ground near a large orange fuel truck.
1,20250608231323_1,A person lies on the ground completely engulfed in bright orange and blue flames.
1,20250614185922_1,Wildflowers and bushes cover a hilltop overlooking a city skyline at sunrise or sunset.
1,20250614185953_1,"Tall cacti, wildflowers, and power lines frame a desert road beneath a setting sun."
1,20250614190019_1,"A person in dark clothes holds a shotgun, standing near motorcycles and an American flag."
1,20250819200057_1,Overgrown pipes and lush green vegetation cover an abandoned interior bathed in sunlight.
1,20250819200502_1,"Three cats walk through an overgrown, mossy area with large rusty pipes and dense foliage."
1,20250819203400_1,"A cat rides in a bucket suspended over a narrow alleyway, surrounded by dimly lit buildings."
1,20250819203621_1,"A cat with a device on its back stands in a dimly lit, narrow alley with neon lights."
1,20250819203720_1,Two robots stand outside a brightly lit building covered in painted murals and graffiti.
1,20250819204733_1,"Stacks of books fill wooden shelves lit by warm bulbs, with graffiti marking the walls."
1,20250819213612_1,A robot with a musical note face plays guitar beside a sleeping cat on pillows.
1,20250819225945_1,A robot with a heart icon on its screen cuddles a small orange cat on a couch.
1,20250820000851_1,A cat and a robot look over a balcony at a glowing red machine in a dilapidated courtyard.
1,20250820144115_1,A robot in a tropical shirt and hat stands on a sunlit balcony looking upward.
1,20250820144139_1,"A futuristic alleyway with neon signs and a figure in the foreground, looking upwards."
1,20250518140047_1,"A man in a light grey polo shirt stands in an industrial room, clapping his hands."
1,20250518144219_1,"An explosion rocks a coastal area, with fiery debris and red smoke in the air."
1,20250528222210_1,"Two people sit inside a police helicopter above a city at night, surrounded by lit buildings."
1,20250529235240_1,"A crashed plane with smoke and fire, a dead person lying nearby on the ground."
1,20250529235631_1,"A black car with a blood-splattered windshield, parked on a curving road."
1,20250602234547_1,Two boats speeding through a river with containers scattered on the water's edge.
1,20250602235825_1,A dark underwater scene showing large pillars supporting a structure above the water.
1,20250603002748_1,A truck drives near train tracks while an explosion occurs beside the road.
1,20250604011221_1,A topless woman in lingerie and boots stands before a seated man in a white suit on a zebra couch.
1,20250606013612_1,A man in glasses and a plaid shirt stands indoors holding a cane.
1,20250606014751_2,A tall building at night is engulfed in explosions and rising smoke.
1,20250608000645_1,A yellow bulldozer pushes through concrete rubble and debris near damaged buildings.
1,20250608000649_1,A broken wall with cracks and debris sits between two pillars under bright indoor lights.
1,20250608000659_1,"Dust and debris fill a room after an explosion, with fallen lights and scattered broken rocks."
1,20250608001135_1,A black helicopter with red graffiti hovers above a fenced construction site with exposed pipes.
1,20250608011833_1,A man in a dark jacket stands beside a black car in front of hills and power lines.
1,20250608012614_1,"The image shows a confidential client note from Dr. Isiah Friedlander, describing a patient's behavior and traits."
1,20250608231226_1,A red off-road vehicle with its lights on is parked near warehouses and industrial structures.
1,20250608231327_1,"A person is crawling while engulfed in flames, with another person recoiling in the background."
1,20250608231334_2,People duck for cover as burning cars and crates fill an area with flames and smoke.
1,20250608231456_1,"Two people stand outdoors at night, facing each other, doing a fist bump."
1,20250614185944_2,Several people interact in a dark indoor space with industrial ceiling lighting above.
1,20250614185959_1,"A person with tattoos operates heavy machinery in an industrial, blue-lit indoor space."
1,20250819195951_1,A brown tabby cat is sleeping peacefully on green grass with plants around.
1,20250819195954_1,A brown cat is sleeping on grass while a butterfly hovers above its head.
1,20250819201707_1,An orange tabby cat sits alertly in dim lighting on a blue blanket.
1,20250819201710_1,A cat is hunched in a defensive or startled posture on cobblestone ground.
1,20250819203012_1,A small robotic creature hovers inside a futuristic platform surrounded by glowing blue columns.
1,20250819203037_1,A robotic drone and a cat face each other under blue lighting on a patterned rug.
1,20250819203049_1,A cat investigates a small robotic device on a patterned rug.
1,20250819223907_1,"A cat with a small backpack stands in a dark, orange-lit room with strange round creatures."
1,20250820144029_1,"A orange cat lies on a floor beside a small, round, and futuristic device."
1,20250820144106_3,"A debris-filled alleyway is lit by sunlight, with small round creatures scattered across the ground."
1,20250820144316_1,"An orange tabby cat sits outdoors, looking up towards the bright blue sky."
1,20250518120425_1,A man in an orange prison jumpsuit faces a well-dressed man in a warehouse.
1,20250518135447_1,A shirtless man lies on the ground hooked to a monitor while another man stands above him.
1,20250518145102_1,A red and white aircraft flies low over a mountainous landscape with ocean in the background.
1,20250526235802_1,Three people wearing coveralls and white masks stand outside in a workyard in daylight.
1,20250602232250_1,Two people in tactical gear hold weapons near police cars during daylight hours.
1,20250603020254_1,A red helicopter flies over winding mountain roads at night with a city glowing in the distance.
1,20250605145944_1,A menacing zombie-like figure with decayed skin stares through a jagged hole in wood.
1,20250605152042_1,"A black sports car drives through a rainy, urban street lined with houses and parked cars."
1,20250606002131_1,"A bloodied man in a white tank top hangs upside down in a tiled, industrial room."
1,20250606003239_1,"Two men stand outside—one in a stained white tank top, the other in a red and yellow jacket."
1,20250606003241_1,"A man wears a white tank top with blood stains, standing outside near green bushes."
1,20250606020814_1,"Several armed men stand on a sidewalk, one crouching clutching an injured, bleeding leg."
1,20250606020938_1,"A massive explosion with fire and debris erupts near a building, man in suit on right."
1,20250606122729_1,A person stands watching a car engulfed in flames on a dark hillside.
1,20250607221134_1,A man in a suit stands indoors with framed photos and decorations on the wall behind him.
1,20250607224015_1,"A first-person view through a green night vision filter, holding a flashlight, with a person lying motionless on the floor in a house hallway."
1,20250608005608_1,"Three men stand outside at night on a muddy ground, one wearing a white shirt stained with blood."
1,20250608011800_1,"A car in shallow water is on fire, surrounded by rocks and a sandy shore at dusk."
1,20250608225855_1,Two men are on a metal platform at night—one is reaching up while the other helps pull him up.
1,20250608230913_1,"A person stands in front of a red truck with the door open, while another person aims a gun at them from behind."
1,20250608231339_1,"Two men confront each other outdoors at night, with fire visible behind them."
1,20250608231348_1,A man in a suit raises his arms as another man approaches outside at night.
1,20250614185928_1,Armed person in store approaches cashier and customer during an apparent robbery.
1,20250614190017_1,Man in dark suit walks down city street with tall buildings and helicopter overhead.
1,20250819195749_1,An orange cat and a black cat sit together near leafy pipes in a dim room.
1,20250819200355_1,"Orange cat and black cat explore a damp, overgrown area by mossy pipes."
1,20250819221128_1,A character in a bright robe and hat floats on a raft in a pipe-filled tunnel.
1,20250819223841_1,A black cat stands before a surreal wall with giant orange eyes and organic shapes.
1,20250819224128_1,A cat with a device walks through a wet pipe tunnel toward a robot standing in doorway light.
1,20250819224233_1,"A robot with green glowing eyes displays dialogue saying ""Was it? It was. Me. I was the scientist."""
1,20250819224416_1,Colorful Asian lanterns hang above stacked monitors displaying ornate decorations.
1,20250819235833_1,A robot with glowing blue eyes sits in a red hooded robe.
1,20250820144320_1,An orange cat sits on a mossy ledge surrounded by green plants and flowers.
1,20250518135442_1,A man with a gas mask holds a fire extinguisher beside another seated man.
1,20250518135508_1,A man in a red shirt pours water onto a bound man lying on the ground.
1,20250518140032_1,A sniper scope targets three people on a balcony; the crosshairs center on one individual.
1,20250518145248_1,"A fiery explosion bursts atop a forested hill, sending flames and smoke skyward."
1,20250523170957_1,A man sits while a topless woman stands beside him in a dimly lit.
1,20250523174936_1,A black pickup drives a rainy highway as lightning strikes above the ocean.
1,20250602232522_1,A soldier crouches firing at a fire hydrant on an urban street corner.
1,20250603002744_1,A yellow locomotive approaches on railroad tracks amid power lines and wind turbines.
1,20250603020502_1,A red and white helicopter flies above dark ocean water with an airplane visible ahead.
1,20250604011624_1,Two topless women with contrasting hair colors stand close together in a dimly lit club.
1,20250605145913_1,A man in a dark green jacket looks directly at the camera with the moon visible behind him.
1,20250606005617_1,A dark SUV sits on a street as a fiery explosion burns near buildings and palm trees.
1,20250606013546_1,A man in glasses and plaid shirt exits an office carrying a red fuel can.
1,20250606014750_1,A massive explosion engulfs the upper floors of an office building.
1,20250606014751_1,A fiery explosion erupts from the top floors of a multi-story office building.
1,20250606020747_1,Armed men surround two negotiators on a rooftop while SWAT officers aim from behind.
1,20250606020813_1,Armed agents aim at each other during a tense rooftop standoff at dusk.
1,20250606113611_1,A Mediterranean-style villa with a swimming pool surrounded by palm trees and lush landscaping.
1,20250608011703_1,A bruised man with tape over his mouth sits in a car.
1,20250608225428_1,Two men stand on a rural dirt road at night with mountains and city lights behind.
1,20250608225935_1,A man with a bloody nose talks on a phone at night.
1,20250608231221_1,A red off-road vehicle drives toward an industrial area at night with smoke rising.
1,20250614185938_1,A man in sunglasses and a pink shirt looks out at a sunset through blinds.
1,20250819200636_1,A small orange cat walks carefully along a narrow metal pipe outdoors.
1,20250819200642_1,"Three small cats, one black and two orange, curiously peer over a mossy ledge."
1,20250819200645_1,"An orange cat clings to a mossy pipe, looking down with wide eyes."
1,20250819200648_1,"A dark, foggy scene shows a mossy pipe with faint water in the background."
1,20250819201147_1,"An orange cat sits outside a shop window displaying ""FOLLOW ME"" with cat icons."
1,20250819201704_1,The image shows a dimly lit alley filled with glowing-eyed pumpkin-like figures and debris.
1,20250819203038_1,A small hovering robot labeled B12 glows beside an orange cat in darkness.
1,20250819220955_1,"Two robot figures, one with a glowing green face, talk in a dimly-lit room."
1,20250819223926_1,A small broken robot with red accents lies on a metal grate floor.
1,20250819225738_1,"A close-up of a cat hissing with mouth open, fangs bared, neon-lit."
1,20250819234405_1,A cat wearing a harness looks out through textured glass at neon-lit plants.
1,20250820144132_1,A figure in yellow clothing and a white cap with a blue visor walks among mechanical structures.
1,20250601134120_1,A man in a maroon polo stands in a kitchen holding a blue cup.
1,20250603015508_1,A large truck carries two cars on a nighttime highway curve with game interface showing money.
1,20250605143131_1,A woman climbs out of a van’s rear as a man faces her.
1,20250605144357_1,A man in a suit sits on a sofa as another man enters.
1,20250605145924_1,"A man peers into a grave, revealing a decayed corpse inside a broken coffin."
1,20250606002132_1,"Two men stand in a slaughterhouse room, facing a person hanging upside down."
1,20250606002713_1,A man in a red jumpsuit stands in an industrial facility with warning signs.
1,20250606020506_1,A nighttime office complex features a floating red and black cube sculpture surrounded by palm trees.
1,20250606020936_1,A tilted helicopter cockpit view approaches a modern campus with walkways and buildings.
1,20250607221653_1,A man in a suit stands under a jet wing inside an airport hangar.
1,20250607222745_1,A person in a suit holds a bottle out of a sunroof on a black limousine.
1,20250608011701_1,"Three men stand around a car trunk holding a bound, gagged shirtless man."
1,20250608011829_1,A bruised man in a bloodstained white shirt stares intensely outdoors at dusk.
1,20250608012927_1,A woman in leopard print stands in a kitchen as a man hugs her waist.
1,20250608012934_1,A woman with red spiky hair in a leopard print dress stands in a kitchen.
1,20250608225800_1,A man lies on a metal platform holding a pistol while another confronts him.
1,20250608230934_1,A man looks at a white car and red truck at dusk.
1,20250608231227_1,A small blue car with headlights on drifts near power lines under a night sky.
1,20250608231229_1,A blue car has collided with a red tow truck near an orange tanker.
1,20250614185958_1,"Two people sit at a table covered with blueprints, documents, and coffee cups."
1,20250614190018_1,A man in a floral shirt walks down a neon-lit city street at night.
1,20250819195744_1,An orange cat and a black cat lie together on mossy ground under leafy plants.
1,20250819200025_1,Three cats sit in a mossy stone archway with vegetation and old walls.
1,20250819200439_1,An orange cat runs through lush vegetation toward other animals in a misty forest.
1,20250819203616_1,Narrow neon-lit alley with a cat facing a humanoid figure with a screen head.
1,20250819203726_1,A cat with a device sits facing a robot in a cloak near a closed gate.
1,20250819211747_1,A metal lift platform with green lights stands beside a wall glowing with orange spores.
1,20250819212756_1,A robot with a rainbow screen face watches a monitor as a cat points.
1,20250819221154_1,"A robotic figure with a screen for a face paddles a raft in a sewer tunnel, accompanied by a cat."
1,20250819224419_1,"A robotic figure sits surrounded by old monitors displaying pixelated faces, candles, and decorations."
1,20250819225943_1,"A robot with a screen displaying a question mark lounges on a couch, wearing a cowboy hat."
1,20250819235843_1,Two humanoid robots and two drones face a cat wearing a harness.
1,20250820144124_1,A group of humanoid robots stands in sunlight outside colorful graffiti-covered walls.
1,20250518135719_1,A man in a red shirt forces a seated man’s mouth open violently.
1,20250523154532_1,Bearded man in red shirt and yellow gloves working outdoors at night with green light.
1,20250523170827_1,A topless woman in a thong stands near a bald man in a dark room.
1,20250523174943_1,Pickup truck and black car driving on a rainy coastal bridge at night.
1,20250526185549_1,Person performing motorcycle wheelie jump against clear sky with power lines and city backdrop.
1,20250526215240_1,Helicopter flying above mountains during dusk with city lights and a crescent moon.
1,20250601134713_1,Car engine engulfed in flames while person with green hair flees in distress.
1,20250602234252_1,Freight train derailed on iron bridge with containers falling and thick black smoke rising.
1,20250603005127_1,"Man on hands and knees in street, blood nearby, people watching from sidewalk."
1,20250605145508_1,Military aircraft flying over dark ocean waves under stormy cloudy night sky.
1,20250605150111_1,Two men in winter clothes aiming pistols at each other in a snowy setting.
1,20250606002006_1,Three women in athletic wear jogging together on a sunlit sidewalk outside a building.
1,20250606003358_1,Large villa-style house with lush landscaping and a person entering the front door.
1,20250606020739_1,"Man in suit pointing handgun, city skyline in background, aggressive caption displayed below."
1,20250606020753_1,"Four men with guns pointed at each other on rooftop, city skyline visible, tense standoff."
1,20250606020949_1,"Man standing on rooftop, holding a sniper rifle and raising fist against blue sky."
1,20250607224007_1,Armed man in tactical gear aiming pistol at another man lying on the ground.
1,20250608000425_1,Two women in lingerie and boots sit on stools in a dimly lit dressing room.
1,20250608011853_1,"Three men stand on cliff at sunset, orange sky reflected on water below."
1,20250608011910_1,Man in bloody white shirt stands near cliff edge at sunset with orange sky.
1,20250608225904_1,Man in black shirt holding red pole stands near large round structure under starry sky.
1,20250608225905_1,Man in dark jacket lies on ground with blood pooling behind his head.
1,20250608225938_1,Man in black shirt holding phone to ear stands outside industrial facility at night.
1,20250608230918_1,"Man in dark shirt aiming a handgun forward, with wrecked bus in background at dusk."
1,20250608231306_1,"A close-up of a man with short hair, wearing a black shirt in a dimly lit warehouse setting."
1,20250608231330_1,"Person engulfed in large flames on ground at night, another figure stands further back."
